Mass,Radius,Pressure,k2,yR,Type
0.015555448914262367,2.4099999999999926,1.5,0.0031322140946367385,1.9864333339750597,1
0.017128063860980553,2.489999999999991,1.6,0.0033313757259919056,1.9855194734515893,1
0.018743106446648068,2.569999999999989,1.7000000000000002,0.00352665530347907,1.9846078585249656,1
0.02039851933832008,2.6399999999999877,1.8000000000000003,0.0037256954287443866,1.9836984823614718,1
0.022092411085096405,2.709999999999986,1.9000000000000004,0.003921300041978968,1.9827913431398625,1
0.023823034407415726,2.7799999999999847,2.0000000000000004,0.0041135199939542665,1.9818864289608358,1
0.02558876833609551,2.849999999999983,2.1000000000000005,0.004302415909489393,1.9809837375828414,1
0.027388103426549064,2.909999999999982,2.2000000000000006,0.004496154873262573,1.9800832621233455,1
0.029219629293203108,2.9699999999999807,2.3000000000000007,0.004686926729391348,1.9791849954582663,1
0.031082024097984457,3.039999999999979,2.400000000000001,0.0048664146578635365,1.978288932611772,1
0.0329740455531412,3.089999999999978,2.500000000000001,0.005059708242095687,1.9773950665072881,1
0.03489452323220408,3.149999999999977,2.600000000000001,0.005241802612893706,1.9765033953242752,1
0.036842351867120114,3.2099999999999755,2.700000000000001,0.005421097268025096,1.975613906970077,1
0.03881648555448267,3.2699999999999743,2.800000000000001,0.005597643810401668,1.9747265994281142,1
0.04081593264552859,3.319999999999973,2.9000000000000012,0.005780292695070137,1.9738414665340864,1
0.042839751282697056,3.369999999999972,3.0000000000000013,0.00596044450007353,1.9729585043531417,1
0.044887045416502284,3.429999999999971,3.1000000000000014,0.006129151177825498,1.9720777012989907,1
0.04695696132132455,3.47999999999997,3.2000000000000015,0.00630431973630827,1.9711990574861191,1
0.04904868441190757,3.5299999999999687,3.3000000000000016,0.00647709176390699,1.9703225617550766,1
0.05116143647044731,3.5799999999999677,3.4000000000000017,0.006647501199671913,1.969448212886748,1
0.053294473089501575,3.6299999999999666,3.5000000000000018,0.006815584016883945,1.9685760044964025,1
0.05544708141073148,3.6699999999999657,3.600000000000002,0.006990645774635046,1.967705924304654,1
0.057618578052146006,3.7199999999999647,3.700000000000002,0.007154223341305277,1.9668379751443648,1
0.059808307228518,3.7699999999999636,3.800000000000002,0.00731558133323551,1.9659721508935868,1
0.062015639074826504,3.8099999999999627,3.900000000000002,0.007484158082728233,1.9651084412238284,1
0.06423996805224513,3.8599999999999617,4.000000000000002,0.007641212444345157,1.9642468411558534,1
0.06648071155472288,3.899999999999961,4.100000000000002,0.007805628801593059,1.9633873486226632,1
0.06873730858151454,3.93999999999996,4.200000000000003,0.007968031592905716,1.9625299549706496,1
0.07100921855179916,3.989999999999959,4.3000000000000025,0.00811888786183649,1.9616746511712535,1
0.07329592019069994,4.0299999999999585,4.400000000000002,0.00827729923457801,1.960821440501751,1
0.07559691049901586,4.069999999999958,4.500000000000003,0.008433775728425574,1.9599703122877308,1
0.07791170382949332,4.109999999999957,4.600000000000003,0.00858834304123829,1.9591212594529104,1
0.080239830981969,4.149999999999956,4.700000000000003,0.008741026887942328,1.9582742801955515,1
0.08258083842072712,4.189999999999955,4.8000000000000025,0.008891853729848643,1.957429368573968,1
0.08493428748998091,4.229999999999954,4.900000000000003,0.009040850801338813,1.9565865129682651,1
0.08729975371583538,4.269999999999953,5.0,0.009188044610451387,1.9557457123874002,1
0.11153091855832249,4.619999999999946,6.0,0.010615018708217005,1.94744955872152,1
0.13658137627795192,4.939999999999939,7.0,0.01191647513208608,1.939352991867333,1
0.1621868818472799,5.219999999999933,8.0,0.013120249971741087,1.931450783220864,1
0.1881439576499913,5.479999999999928,9.0,0.014222040725912877,1.92373787203002,1
0.21429318465330566,5.7199999999999225,10.0,0.015234514240607622,1.9162093571691656,1
0.240508176557607,5.929999999999918,11.0,0.016176303383848217,1.9088604554455422,1
0.2666879371614228,6.1399999999999135,12.0,0.01703153600891234,1.9016865639956098,1
0.2927513603807646,6.31999999999991,13.0,0.01783169370102114,1.894683202026901,1
0.3186331549305298,6.489999999999906,14.0,0.018567738597147197,1.8878460257903455,1
0.344280753085891,6.659999999999902,15.0,0.019239971424152808,1.881170826211405,1
0.369651921237633,6.809999999999899,16.0,0.01986633086675723,1.874653522797567,1
0.3947128837596492,6.949999999999896,17.0,0.02044489752648342,1.8682901375574943,1
0.4194368307786917,7.089999999999893,18.0,0.0209754668739397,1.8620768352934194,1
0.44380271799981597,7.209999999999891,19.0,0.02147036990134892,1.8560098765278723,1
0.46779429261320793,7.329999999999888,20.0,0.021924757064303836,1.850085653237084,1
0.4913992962687083,7.439999999999886,21.0,0.022345229810509893,1.8443006328116516,1
0.5146088083869318,7.5499999999998835,22.0,0.022732097814607975,1.8386514135316236,1
0.5374167019296769,7.649999999999881,23.0,0.02309000126855493,1.8331346834136921,1
0.5598191900708959,7.749999999999879,24.0,0.023419797121683475,1.8277472177658969,1
0.5818144467236219,7.839999999999877,25.0,0.023724341215636335,1.8224859064213144,1
0.60340228780538,7.929999999999875,26.0,0.024005154143057095,1.8173477022911704,1
0.6245839025089286,8.009999999999874,27.0,0.024263459132267576,1.8123296651279883,1
0.6453616261310173,8.089999999999872,28.0,0.024501521838060973,1.8074289405625439,1
0.6657387474364704,8.16999999999987,29.0,0.02472136749180194,1.8026427314045568,1
0.6857193450635783,8.239999999999869,30.0,0.024921994484978817,1.797968344601555,1
0.7053081482848281,8.309999999999867,31.0,0.02510686478675042,1.7934031507236938,1
0.7245104183324229,8.379999999999866,32.0,0.025277538742798766,1.788944602531691,1
0.7433318471344282,8.439999999999864,33.0,0.025431031244120474,1.7845902050923157,1
