Mass,Radius,Pressure,k2,yR,yR_ext,Type
0.009027760273358679,1.8400000000000014,1.5,0.752164718212341,1.9930461766706529,-1.0380388471584712,1
0.009960939723966923,1.9000000000000015,1.6,0.7469855967998464,1.992568966467922,-1.032150898969244,1
0.010921394989960566,1.9600000000000015,1.7000000000000002,0.7481256159894906,1.992092382298709,-1.0363182872003875,1
0.011907975620926064,2.020000000000001,1.8000000000000003,0.7545469085487502,1.9916164235751421,-1.0488543936855863,1
0.012919625284242519,2.07,1.9000000000000004,0.7379038406754203,1.9911410897118382,-1.0245425957431373,1
0.013955369148741561,2.1299999999999986,2.0000000000000004,0.7529950694013897,1.9906663801246136,-1.051074042022321,1
0.015014303559527493,2.1799999999999975,2.1000000000000005,0.7451044378377125,1.990192294226295,-1.0408287837290902,1
0.016095587472341626,2.2299999999999964,2.2000000000000006,0.7411059492181027,1.9897188314299101,-1.036723649978887,1
0.017198435292014966,2.2799999999999954,2.3000000000000007,0.7404279647061821,1.9892459911496398,-1.0379481357516818,1
0.018322110837847818,2.3299999999999943,2.400000000000001,0.7426435823503075,1.9887737727976476,-1.0438387563696387,1
0.019465922194822377,2.3699999999999934,2.500000000000001,0.7239776747178377,1.9883021757872335,-1.0156618175027055,1
0.020629217312389373,2.4199999999999924,2.600000000000001,0.7312453479300703,1.9878311995304834,-1.0299518510125283,1
0.021811380201239162,2.4699999999999913,2.700000000000001,0.7405966123432871,1.9873608434382748,-1.0474552575054383,1
0.023011827628096268,2.5099999999999905,2.800000000000001,0.7294643916003312,1.9868911069214252,-1.0316334966049043,1
0.02423000622453965,2.5499999999999896,2.9000000000000012,0.7207980119073132,1.9864219893932844,-1.0195967488965751,1
0.02546538996833811,2.5999999999999885,3.0000000000000013,0.7353345556178305,1.9859534902644136,-1.0458034511327885,1
0.026717477939291356,2.6399999999999877,3.1000000000000014,0.7301501746227652,1.9854856089464399,-1.039623121883085,1
0.027985792348551353,2.679999999999987,3.2000000000000015,0.7267201979915965,1.9850183448487357,-1.0362649024135175,1
0.029269876767498093,2.719999999999986,3.3000000000000016,0.7248620297199072,1.9845516973816018,-1.0354729404595104,1
0.030569294555207526,2.759999999999985,3.4000000000000017,0.7244275792026177,1.9840856659554742,-1.0370240487073121,1
0.031883627452687434,2.7999999999999843,3.5000000000000018,0.725296119855105,1.9836202499787683,-1.040722692095365,1
0.03321247429919801,2.8299999999999836,3.600000000000002,0.7082840555919879,1.9831554488621161,-1.0145071067975702,1
0.034555449892614415,2.869999999999983,3.700000000000002,0.7115958306029869,1.982691262015802,-1.02237329632803,1
0.035912183958879844,2.909999999999982,3.800000000000002,0.7159221031030454,1.9822276888467794,-1.0319011881507232,1
0.037282320190365544,2.949999999999981,3.900000000000002,0.7212148750842883,1.9817647287645286,-1.0429734203516257,1
0.038665515397351156,2.9799999999999804,4.000000000000002,0.7092274808866311,1.981302381177346,-1.0251176512491385,1
0.04006143871923482,3.0199999999999796,4.100000000000002,0.7162902939016617,1.980840645493522,-1.0392428834953575,1
0.04146977090535854,3.049999999999979,4.200000000000003,0.7064932195624768,1.9803795211214568,-1.02495313013321,1
0.042890203658730634,3.089999999999978,4.3000000000000025,0.7151045811102312,1.979919007468679,-1.041715960352992,1
0.044322439025496804,3.1199999999999775,4.400000000000002,0.7071528934527318,1.9794591039430978,-1.0305291353081227,1
0.045766188840150795,3.149999999999977,4.500000000000003,0.7002317305361796,1.9789998099517765,-1.020933367104033,1
0.047221174205067794,3.189999999999976,4.600000000000003,0.7107992220530186,1.9785411249022555,-1.0411320083445106,1
0.04868712501799343,3.2199999999999753,4.700000000000003,0.7053304323271646,1.9780830482011096,-1.034077755008509,1
0.05016377952078065,3.2499999999999747,4.8000000000000025,0.7006815748834434,1.9776255792564856,-1.028343441254321,1
0.05165088390228925,3.279999999999974,4.900000000000003,0.696787554411029,1.9771687174741521,-1.0238481816727776,1
0.053148191905715764,3.3099999999999734,5.0,0.6935916394448376,1.9767124622605625,-1.0205181162551848,1
0.06863305062599262,3.5999999999999672,6.0,0.677426852415114,1.9721831407453903,-1.013879178205106,1
0.0849122977259697,3.8699999999999615,7.0,0.6748839648054574,1.9677138222643313,-1.0306682319072749,1
0.1018247966438253,4.099999999999957,8.0,0.6519650315002177,1.9633039113765298,-1.0098862473350423,1
0.11924177036347734,4.319999999999952,9.0,0.64158468814454,1.9589528120574535,-1.0109859392900715,1
0.13705809211519193,4.529999999999948,10.0,0.6381782265627013,1.9546599281547088,-1.024642509065213,1
0.15518659175974944,4.709999999999944,11.0,0.6188581687909006,1.9504246638169984,-1.0071328176769512,1
0.1735541313405663,4.88999999999994,12.0,0.6121428025893311,1.946246423883367,-1.0132395704292398,1
0.19209878658674864,5.0599999999999365,13.0,0.6061824771448028,1.9421246142601702,-1.0203292582116161,1
0.2107677555657924,5.209999999999933,14.0,0.591568074480926,1.9380586422602355,-1.009304627160716,1
0.22951576513314603,5.35999999999993,15.0,0.5845886103763993,1.9340479169212015,-1.0131310896271513,1
0.2483038298311275,5.499999999999927,16.0,0.5760632556535202,1.930091849303909,-1.0131728266213291,1
0.2670982674877988,5.629999999999924,17.0,0.5656810904281488,1.9261898527654489,-1.008611978651882,1
0.28586990623726144,5.749999999999922,18.0,0.5532782955704154,1.9223413432146736,-0.9988483706115956,1
0.3045934372841258,5.869999999999919,19.0,0.5454185939953043,1.9185457393470018,-0.998333367845011,1
0.32324688056947803,5.989999999999917,20.0,0.5413354291387227,1.914802462864581,-1.0057888732317963,1
