Mass,Radius,Pressure,yR_value,Type
0.0239549305720704,2.98999999999998,1.5,1.9829192868296923,1
0.1651435185533361,5.649999999999924,6.0,1.9350169499113272,1
0.3093906578999103,6.929999999999897,10.0,1.8976169926256448,1
0.450307830118857,7.799999999999878,14.0,1.8644649410808676,1
0.5819158864533561,8.449999999999864,18.0,1.8350479447700316,1
0.7308967356752275,9.059999999999851,23.0,1.8028642375899493,1
0.8628176439862358,9.51999999999984,28.0,1.7751042115106803,1
1.000687581071685,9.929999999999833,34.0,1.7467821174775031,1
1.1373038487011016,10.279999999999824,41.0,1.7195403393915751,1
1.281696061555334,10.599999999999818,50.0,1.692025097018074,1
1.4211986548898592,10.859999999999811,61.0,1.6674566817193337,1
1.563889092889238,11.069999999999808,76.0,1.6459595952588446,1
1.7019485795292673,11.219999999999803,97.0,1.6319548812922533,1
1.844364335824813,9.689999999999838,851.0,2.05501262822064,1
1.984481672588808,10.799999999999814,303.0,1.7592919233762483,1
1.8846099256548476,9.899999999999832,706.0,2.00200767980156,1
0.030214433831836,3.3599999999999723,1.5,1.9822161041525084,1
0.2048332587938416,6.30999999999991,6.0,1.9326930068752943,1
0.3361679439680798,7.4099999999998865,9.0,1.9034415417033288,1
0.5068636522707421,8.449999999999864,13.0,1.86856284213386,1
0.6269206898524167,9.029999999999852,16.0,1.8451767275901891,1
0.8087470560814763,9.759999999999836,21.0,1.8108457080174256,1
0.9679454157267516,10.299999999999825,26.0,1.7815849102288177,1
1.1066061464508326,10.699999999999816,31.0,1.7566709919235102,1
1.271195286526151,11.109999999999808,38.0,1.727959392837023,1
1.4073749330691712,11.4099999999998,45.0,1.705237875846523,1
1.563501005465063,11.699999999999797,55.0,1.681085935696784,1
1.726434901911293,11.93999999999979,69.0,1.659735127374342,1
1.8764958034394508,9.849999999999834,1343.0,2.2115902767785456,1
2.0304385334156727,10.49999999999982,752.0,2.0768076599439795,1
2.1842057278542413,11.679999999999795,270.0,1.778610400590006,1
2.0842443531880512,10.769999999999817,598.0,2.010787111270606,1
0.0571088706918988,4.619999999999946,1.5,1.9838458226512692,1
0.2821856752728602,7.839999999999877,4.8000000000000025,1.9503327745575696,1
0.5269409570006129,9.60999999999984,8.0,1.9210472307105608,1
0.7503663320038966,10.769999999999817,11.0,1.8962641149142616,1
0.9591766181124636,11.639999999999796,14.0,1.8738803391698156,1
1.1508453817472204,12.319999999999782,17.0,1.85371902003327,1
1.3797207780424667,13.029999999999768,21.0,1.830004085469121,1
1.6264427334969012,13.679999999999753,26.0,1.8049304122796608,1
1.8353570252814728,14.159999999999744,31.0,1.7843235337146026,1
2.044810305719566,14.589999999999732,37.0,1.764678397040267,1
2.268670902803068,14.989999999999725,45.0,1.7457136322750932,1
2.4999657458202846,15.319999999999718,56.0,1.7303310611523164,1
2.71325675414,12.999999999999767,1037.0,2.3636073419475974,1
2.9345235333719435,13.78999999999975,574.0,2.232132871930746,1
3.1560629459159766,15.19999999999972,210.0,1.897590525551757,1
3.056714338728292,14.34999999999974,394.0,2.1118367508517624,1
0.0166259633200661,2.489999999999991,1.5,1.9918964449878944,1
0.1786900476121485,5.469999999999928,8.0,1.9579396592205,1
0.3592666090964775,6.879999999999898,14.0,1.9296249865190789,1
0.5376161495453333,7.829999999999877,20.0,1.9040359483199107,1
0.7046335133484295,8.539999999999862,26.0,1.8809887875883,1
0.8575896896934565,9.07999999999985,32.0,1.8603012886392736,1
1.0393941324797698,9.63999999999984,40.0,1.8360846660742944,1
1.1977763721163206,10.04999999999983,48.0,1.8153552669545168,1
1.3671001689049505,10.449999999999822,58.0,1.7937958631198825,1
1.5353773645009163,10.789999999999814,70.0,1.7734736019247015,1
1.7035180755896386,11.089999999999808,85.0,1.7552171350865708,1
1.8735476413874903,11.339999999999804,105.0,1.740752253196519,1
2.045083077455381,11.5299999999998,134.0,1.7345648929980535,1
