Mass,Radius,yR_value,Type
0.0239549305720704,2.98999999999998,-1.015751400051896,1
0.1651435185533361,5.649999999999924,-0.9998872911101022,1
0.3093906578999103,6.929999999999897,-0.993080419607925,1
0.450307830118857,7.799999999999878,-0.9674775851416816,1
0.5819158864533561,8.449999999999864,-0.9512017823190964,1
0.7308967356752275,9.059999999999851,-0.9313887580029612,1
0.8628176439862358,9.51999999999984,-0.912107932132758,1
1.000687581071685,9.929999999999833,-0.8826342455047262,1
1.1373038487011016,10.279999999999824,-0.8473833676601643,1
1.281696061555334,10.599999999999818,-0.8051136404260599,1
1.4211986548898592,10.859999999999811,-0.7543797822600438,1
1.563889092889238,11.069999999999808,-0.6850659758256732,1
1.7019485795292673,11.219999999999803,-0.5982371609312462,1
1.844364335824813,9.689999999999838,0.7293447254706493,1
1.984481672588808,10.799999999999814,0.0534676112199856,1
1.8846099256548476,9.899999999999832,0.6184596650782221,1
0.030214433831836,3.3599999999999723,-1.0198541273967596,1
0.2048332587938416,6.30999999999991,-1.0002598332573231,1
0.3361679439680798,7.4099999999998865,-0.990673580939909,1
0.5068636522707421,8.449999999999864,-0.9778405928301196,1
0.6269206898524167,9.029999999999852,-0.9632825093343952,1
0.8087470560814763,9.759999999999836,-0.9380243881840103,1
0.9679454157267516,10.299999999999825,-0.9178837100010226,1
1.1066061464508326,10.699999999999816,-0.8904618218285059,1
1.271195286526151,11.109999999999808,-0.8516109756353234,1
1.4073749330691712,11.4099999999998,-0.8186182753050864,1
1.563501005465063,11.699999999999797,-0.768410980182948,1
1.726434901911293,11.93999999999979,-0.6979198481485633,1
1.8764958034394508,9.849999999999834,0.9937829836564986,1
2.0304385334156727,10.49999999999982,0.7134948137139487,1
2.1842057278542413,11.679999999999795,0.0341847531221592,1
2.0842443531880512,10.769999999999817,0.5775569039209976,1
0.0571088706918988,4.619999999999946,-1.0155912843042565,1
0.2821856752728602,7.839999999999877,-1.0160734918445826,1
0.5269409570006129,9.60999999999984,-1.0046246166684965,1
0.7503663320038966,10.769999999999817,-0.9956885209979224,1
0.9591766181124636,11.639999999999796,-0.9822482935389576,1
1.1508453817472204,12.319999999999782,-0.9687718757407148,1
1.3797207780424667,13.029999999999768,-0.9552155485436724,1
1.6264427334969012,13.679999999999753,-0.929311405402094,1
1.8353570252814728,14.159999999999744,-0.9027936553608986,1
2.044810305719566,14.589999999999732,-0.8736585291536627,1
2.268670902803068,14.989999999999725,-0.8332831666820908,1
2.4999657458202846,15.319999999999718,-0.7680555470767569,1
2.71325675414,12.999999999999767,0.9570528252558932,1
2.9345235333719435,13.78999999999975,0.6798437739514829,1
3.1560629459159766,15.19999999999972,-0.0352788848191372,1
3.056714338728292,14.34999999999974,0.4325755470537455,1
0.0166259633200661,2.489999999999991,-1.0232659277674063,1
0.1786900476121485,5.469999999999928,-1.0161982041178828,1
0.3592666090964775,6.879999999999898,-1.0137659027995898,1
0.5376161495453333,7.829999999999877,-0.9953929395384244,1
0.7046335133484295,8.539999999999862,-0.9891956055211504,1
0.8575896896934565,9.07999999999985,-0.9742053335982584,1
1.0393941324797698,9.63999999999984,-0.9625765049265986,1
1.1977763721163206,10.04999999999983,-0.936476786580424,1
1.3671001689049505,10.449999999999822,-0.9166954259700426,1
1.5353773645009163,10.789999999999814,-0.8832641182584897,1
1.7035180755896386,11.089999999999808,-0.8446273697100888,1
1.8735476413874903,11.339999999999804,-0.7866472988624427,1
2.045083077455381,11.5299999999998,-0.6991878182440285,1
2.2152566240648763,10.249999999999826,0.6874412664665119,1
2.3843330211758422,11.289999999999804,-0.0403876423516109,1
2.2843937031446058,10.53999999999982,0.5153868393502778,1
0.0168515198194745,2.5099999999999905,-1.0349317997272032,1
0.1809935529785894,5.509999999999927,-1.0231215747210889,1
0.363770549800971,6.919999999999897,-1.0083493060778823,1
0.5147955017830247,7.739999999999879,-0.9967630613143664,1
0.7130931983777169,8.589999999999861,-0.9855112271179044,1
0.8677081412439482,9.13999999999985,-0.977398699911652,1
1.0514153985921053,9.699999999999838,-0.96303058781567,1
1.211396526940792,10.119999999999829,-0.9434071914344102,1
1.3823705460829416,10.50999999999982,-0.9140087974328022,1
1.5522277818343342,10.859999999999811,-0.8868735663504228,1
1.721886958279893,11.159999999999808,-0.8470702901893976,1
1.8933881509532808,11.4099999999998,-0.7881605210506544,1
2.0663356473873584,11.599999999999795,-0.6999512774817922,1
2.237080088790089,10.309999999999825,0.6925681812361242,1
2.407817757674078,11.359999999999802,-0.0403253013488227,1
2.3080301004046966,10.619999999999818,0.510604503161669,1
0.0170702372528113,2.52999999999999,-1.0486954532858648,1
0.183227101569937,5.539999999999926,-1.0159357483883338,1
