Mass,Radius,Pressure,Type
0.010211266464595595,1.9600000000000015,1.5,1
0.011264658107584705,2.020000000000001,1.6,1
0.012348827279747407,2.0799999999999996,1.7000000000000002,1
0.0134624837257316,2.1399999999999983,1.8000000000000003,1
0.014604442583036732,2.199999999999997,1.9000000000000004,1
0.01577361028469715,2.259999999999996,2.0000000000000004,1
0.01696897299193231,2.3199999999999945,2.1000000000000005,1
0.018189587024894344,2.3699999999999934,2.2000000000000006,1
0.01943457083155739,2.4199999999999924,2.3000000000000007,1
0.020703098246085475,2.4699999999999913,2.400000000000001,1
0.021994392717524354,2.5199999999999902,2.500000000000001,1
0.02330772238455574,2.569999999999989,2.600000000000001,1
0.02464239579412759,2.619999999999988,2.700000000000001,1
0.025997758333247738,2.669999999999987,2.800000000000001,1
0.027373188577497484,2.709999999999986,2.9000000000000012,1
0.02876809604295275,2.759999999999985,3.0000000000000013,1
0.030181918304770215,2.7999999999999843,3.1000000000000014,1
0.03161411887123962,2.849999999999983,3.2000000000000015,1
0.03306418519199417,2.8899999999999824,3.3000000000000016,1
0.03453162692247109,2.9299999999999815,3.4000000000000017,1
0.0360159743197999,2.9699999999999807,3.5000000000000018,1
0.03751677682353946,3.00999999999998,3.600000000000002,1
0.03903360176578806,3.049999999999979,3.700000000000002,1
0.0405660332084659,3.089999999999978,3.800000000000002,1
0.042113670895931966,3.1299999999999772,3.900000000000002,1
0.043676129267703256,3.1699999999999764,4.000000000000002,1
0.04525303658600894,3.2099999999999755,4.100000000000002,1
0.0468440341485402,3.239999999999975,4.200000000000003,1
0.04844877552329802,3.279999999999974,4.3000000000000025,1
0.050066925886618055,3.319999999999973,4.400000000000002,1
0.051698161385435606,3.3499999999999726,4.500000000000003,1
0.05334216855988105,3.3899999999999717,4.600000000000003,1
0.05499864381492895,3.419999999999971,4.700000000000003,1
0.05666729291837097,3.4499999999999704,4.8000000000000025,1
0.05834783053770387,3.4899999999999696,4.900000000000003,1
0.06003997982086986,3.519999999999969,5.0,1
0.07754453926341771,3.8299999999999623,6.0,1
0.09595608402058751,4.109999999999957,7.0,1
0.11509321055015106,4.369999999999951,8.0,1
0.134810803802033,4.599999999999946,9.0,1
0.1549902739303145,4.819999999999942,10.0,1
0.17553317498258056,5.019999999999937,11.0,1
0.19635680740359052,5.209999999999933,12.0,1
0.21739106028870747,5.37999999999993,13.0,1
0.2385760698548438,5.549999999999926,14.0,1
0.2598604290614391,5.709999999999923,15.0,1
0.2811998047783054,5.84999999999992,16.0,1
0.30255583011809317,5.9999999999999165,17.0,1
0.3238952170274174,6.129999999999914,18.0,1
0.34518903077778224,6.259999999999911,19.0,1
0.3664120910729575,6.379999999999908,20.0,1
0.3875424723789312,6.499999999999906,21.0,1
0.4085610837384707,6.6099999999999035,22.0,1
0.42945131253901464,6.719999999999901,23.0,1
0.4501987205931016,6.819999999999899,24.0,1
0.4707907831613808,6.919999999999897,25.0,1
0.4912166638706012,7.019999999999895,26.0,1
0.511467019434868,7.109999999999893,27.0,1
0.5315338296573549,7.199999999999891,28.0,1
0.5514102487992127,7.279999999999889,29.0,1
0.5710904752208313,7.3599999999998875,30.0,1
0.590569636647802,7.439999999999886,31.0,1
0.6098436889262847,7.519999999999884,32.0,1
0.6289093264321193,7.589999999999883,33.0,1
0.6477639026073653,7.669999999999881,34.0,1
0.666405359311586,7.72999999999988,35.0,1
0.6848321639534369,7.799999999999878,36.0,1
0.7030432533154201,7.869999999999877,37.0,1
0.721037983388145,7.929999999999875,38.0,1
0.7388160844587377,7.989999999999874,39.0,1
0.7563776208563014,8.049999999999873,40.0,1
0.7737229548080096,8.109999999999872,41.0,1
0.7908527139568357,8.15999999999987,42.0,1
0.8077677621785366,8.21999999999987,43.0,1
0.8244691732479689,8.269999999999868,44.0,1
0.8409582071653511,8.319999999999867,45.0,1
0.857236288778882,8.369999999999866,46.0,1
0.873304988481105,8.419999999999865,47.0,1
0.8891660048036585,8.459999999999864,48.0,1
0.9048211486699376,8.509999999999863,49.0,1
0.9202723291884665,8.549999999999862,50.0,1
0.9355215407999297,8.599999999999861,51.0,1
0.9505708516367893,8.63999999999986,52.0,1
0.965422393015481,8.67999999999986,53.0,1
0.9800783499238871,8.719999999999859,54.0,1
0.9945409524249413,8.759999999999858,55.0,1
1.0088124678649952,8.799999999999857,56.0,1
1.0228951938529163,8.839999999999856,57.0,1
1.036791451898079,8.869999999999855,58.0,1
1.050503581661167,8.909999999999854,59.0,1
1.064033935770329,8.939999999999854,60.0,1
1.0773848751307222,8.969999999999853,61.0,1
1.0905587647303359,9.009999999999852,62.0,1
1.1035579698037092,9.039999999999852,63.0,1
1.1163848524249906,9.069999999999851,64.0,1
1.1290417684349012,9.09999999999985,65.0,1
1.1415310646790728,9.12999999999985,66.0,1
1.153855076514366,9.15999999999985,67.0,1
1.1660161256411987,9.189999999999849,68.0,1
1.1780165180907547,9.209999999999848,69.0,1
1.1898585482470905,9.239999999999847,70.0,1
1.201544474350076,9.269999999999847,71.0,1
1.2130765513748776,9.289999999999846,72.0,1
1.2244570070764764,9.319999999999846,73.0,1
1.2356880466001428,9.339999999999845,74.0,1
1.2467718515393496,9.369999999999845,75.0,1
1.2577105791690568,9.389999999999844,76.0,1
1.26850636171446,9.409999999999844,77.0,1
1.2791613057917173,9.439999999999843,78.0,1
1.2896774919261917,9.459999999999843,79.0,1
1.3000569741387795,9.479999999999842,80.0,1
1.3103017796046739,9.499999999999842,81.0,1
1.3204139084419935,9.519999999999841,82.0,1
1.3303953334704215,9.539999999999841,83.0,1
1.3402480001125028,9.55999999999984,84.0,1
1.3499738263076968,9.57999999999984,85.0,1
1.3595747024757654,9.59999999999984,86.0,1
1.3690524915294866,9.61999999999984,87.0,1
1.378409028930326,9.639999999999839,88.0,1
1.387646122776318,9.659999999999838,89.0,1
1.3967655539120147,9.669999999999838,90.0,1
1.4057690760837935,9.689999999999838,91.0,1
1.4146584161150433,9.709999999999837,92.0,1
1.4234352740946687,9.719999999999837,93.0,1
1.4321013235960216,9.739999999999837,94.0,1
1.4406582119059017,9.749999999999837,95.0,1
1.4491075603002403,9.769999999999836,96.0,1
1.4574509642653706,9.779999999999836,97.0,1
1.4656899938305628,9.799999999999836,98.0,1
1.4738261937948034,9.809999999999835,99.0,1
1.4818610840861894,9.829999999999835,100.0,1
1.4897961600255665,9.839999999999835,101.0,1
1.4976328926466083,9.859999999999834,102.0,1
1.505372729027494,9.869999999999834,103.0,1
1.51301709261861,9.879999999999834,104.0,1
1.520567383535373,9.899999999999833,105.0,1
1.528024978936314,9.909999999999833,106.0,1
1.535391233314949,9.919999999999833,107.0,1
1.5426674788552375,9.929999999999833,108.0,1
1.5498550257679478,9.939999999999833,109.0,1
1.5569551626114777,9.959999999999832,110.0,1
1.5639691566277936,9.969999999999832,111.0,1
1.5708982541077403,9.979999999999832,112.0,1
1.5777436806806584,9.989999999999831,113.0,1
1.5845066416619829,9.999999999999831,114.0,1
1.5911883224037893,10.009999999999831,115.0,1
1.597789888587527,10.01999999999983,116.0,1
1.6043124865761296,10.02999999999983,117.0,1
1.6107572437244968,10.03999999999983,118.0,1
1.6171252686881576,10.04999999999983,119.0,1
1.6234176517704524,10.05999999999983,120.0,1
1.6296354651989615,10.06999999999983,121.0,1
1.6357797634604752,10.07999999999983,122.0,1
1.6418515835938874,10.08999999999983,123.0,1
1.6478519454965772,10.09999999999983,124.0,1
1.653781852219203,10.09999999999983,125.0,1
1.659642290261812,10.109999999999829,126.0,1
1.6654342298645572,10.119999999999829,127.0,1
1.6711586252921207,10.129999999999828,128.0,1
1.6768164151119844,10.139999999999828,129.0,1
1.6824085224794676,10.149999999999828,130.0,1
1.6879358554036084,10.149999999999828,131.0,1
1.6933993070241502,10.159999999999828,132.0,1
1.698799755863029,10.169999999999828,133.0,1
1.7041380661050376,10.179999999999827,134.0,1
1.7094150878324554,10.179999999999827,135.0,1
1.7146316572940263,10.189999999999827,136.0,1
1.7197885971441116,10.199999999999827,137.0,1
1.7248867166906274,10.199999999999827,138.0,1
1.7299268121313907,10.209999999999827,139.0,1
1.7349096667925434,10.219999999999827,140.0,1
1.7398360513584676,10.219999999999827,141.0,1
1.744706724101598,10.229999999999826,142.0,1
1.7495224311039812,10.239999999999826,143.0,1
1.7542839064704596,10.239999999999826,144.0,1
1.7589918725579912,10.249999999999826,145.0,1
1.7636470401795363,10.249999999999826,146.0,1
1.7682501088064855,10.259999999999826,147.0,1
1.7728017667816078,10.259999999999826,148.0,1
1.7773026915209704,10.269999999999825,149.0,1
1.7817535496893702,10.269999999999825,150.0,1
1.7861549974305146,10.279999999999825,151.0,1
1.790507680522202,10.279999999999825,152.0,1
1.7948122345757744,10.289999999999825,153.0,1
1.7990692852237151,10.289999999999825,154.0,1
1.8032794482920231,10.299999999999825,155.0,1
1.8074433299662949,10.299999999999825,156.0,1
1.8115615269866785,10.309999999999825,157.0,1
1.8156346267988956,10.309999999999825,158.0,1
1.819663207732578,10.319999999999824,159.0,1
1.8236478391413842,10.319999999999824,160.0,1
1.8275890815957778,10.329999999999824,161.0,1
1.8314874870116824,10.329999999999824,162.0,1
1.8353435988170421,10.329999999999824,163.0,1
1.8391579521001291,10.339999999999824,164.0,1
1.8429310737571325,10.339999999999824,165.0,1
1.846663482633018,10.349999999999824,166.0,1
1.8503556896700477,10.349999999999824,167.0,1
1.8540081980482703,10.349999999999824,168.0,1
1.8576215033146526,10.359999999999824,169.0,1
1.8611960935172471,10.359999999999824,170.0,1
1.8647324493484008,10.359999999999824,171.0,1
1.8682310442631251,10.369999999999823,172.0,1
1.8716923446002558,10.369999999999823,173.0,1
1.8751168097269881,10.369999999999823,174.0,1
1.8785048921430891,10.379999999999823,175.0,1
1.8818570376028607,10.379999999999823,176.0,1
1.8851736852378642,10.379999999999823,177.0,1
1.888455267670488,10.389999999999823,178.0,1
1.8917022111136275,10.389999999999823,179.0,1
1.8949149355102661,10.389999999999823,180.0,1
1.898093854605017,10.399999999999823,181.0,1
1.9012393760857251,10.399999999999823,182.0,1
1.9043519016623023,10.399999999999823,183.0,1
1.9074318271738238,10.399999999999823,184.0,1
1.9104795427065275,10.409999999999823,185.0,1
1.913495432661779,10.409999999999823,186.0,1
1.9164798758856803,10.409999999999823,187.0,1
1.9194332457347778,10.409999999999823,188.0,1
1.9223559101890437,10.419999999999822,189.0,1
1.9252482319317143,10.419999999999822,190.0,1
1.9281105684433353,10.419999999999822,191.0,1
1.930943272088775,10.419999999999822,192.0,1
1.9337466902045048,10.419999999999822,193.0,1
1.936521165177699,10.429999999999822,194.0,1
1.9392670345378138,10.429999999999822,195.0,1
1.941984631028292,10.429999999999822,196.0,1
1.9446742826944121,10.429999999999822,197.0,1
1.9473363129506829,10.429999999999822,198.0,1
1.949971040680616,10.439999999999822,199.0,1
1.9525787802719534,10.439999999999822,200.0,1
1.9551598417399532,10.439999999999822,201.0,1
1.9577145307595978,10.439999999999822,202.0,1
1.9602431487552165,10.439999999999822,203.0,1
1.962745992966619,10.439999999999822,204.0,1
1.9652233565207684,10.449999999999822,205.0,1
1.9676755284899614,10.449999999999822,206.0,1
1.9701027939736802,10.449999999999822,207.0,1
1.972505434140062,10.449999999999822,208.0,1
1.9748837263184924,10.449999999999822,209.0,1
1.9772379440354757,10.449999999999822,210.0,1
1.979568357092148,10.449999999999822,211.0,1
1.9818752316185506,10.459999999999821,212.0,1
1.9841588301296451,10.459999999999821,213.0,1
1.986419411594153,10.459999999999821,214.0,1
1.988657231475951,10.459999999999821,215.0,1
1.9908725418060282,10.459999999999821,216.0,1
1.9930655912255257,10.459999999999821,217.0,1
1.9952366250427798,10.459999999999821,218.0,1
1.9973858852861812,10.459999999999821,219.0,1
1.999513610762062,10.459999999999821,220.0,1
2.0016200371003063,10.469999999999821,221.0,1
2.0037053967903873,10.469999999999821,222.0,1
2.0057699192650125,10.469999999999821,223.0,1
2.00781383091765,10.469999999999821,224.0,1
2.009837355153262,10.469999999999821,225.0,1
2.011840712457347,10.469999999999821,226.0,1
2.0138241204160066,10.469999999999821,227.0,1
2.0157877937693143,10.469999999999821,228.0,1
2.0177319444613984,10.469999999999821,229.0,1
2.0196567816833135,10.469999999999821,230.0,1
2.0215625119000475,10.469999999999821,231.0,1
2.023449338908465,10.469999999999821,232.0,1
2.02531746388184,10.469999999999821,233.0,1
2.027167085392431,10.479999999999821,234.0,1
2.028998399460553,10.479999999999821,235.0,1
2.030811599598922,10.479999999999821,236.0,1
2.032606876842936,10.479999999999821,237.0,1
2.034384419789775,10.479999999999821,238.0,1
2.0361444146376786,10.479999999999821,239.0,1
2.0378870452175226,10.479999999999821,240.0,1
2.039612493036656,10.479999999999821,241.0,1
2.04132093730998,10.479999999999821,242.0,1
2.0430125549816944,10.479999999999821,243.0,1
2.0446875207831585,10.479999999999821,244.0,1
2.046346007252082,10.479999999999821,245.0,1
2.0479881847600936,10.479999999999821,246.0,1
2.049614221556718,10.479999999999821,247.0,1
2.0512242837966554,10.479999999999821,248.0,1
2.052818535566599,10.479999999999821,249.0,1
2.0543971389195184,10.479999999999821,250.0,1
2.0559602539043773,10.479999999999821,251.0,1
2.0575080385964606,10.479999999999821,252.0,1
2.0590406491227995,10.479999999999821,253.0,1
2.060558239696761,10.479999999999821,254.0,1
2.062060962634971,10.479999999999821,255.0,1
2.0635489684005965,10.479999999999821,256.0,1
2.06502240561621,10.479999999999821,257.0,1
2.0664814210988864,10.479999999999821,258.0,1
2.067926159880414,10.479999999999821,259.0,1
2.069356765238804,10.479999999999821,260.0,1
2.0707733787189255,10.479999999999821,261.0,1
2.072176140160133,10.479999999999821,262.0,1
2.0735651877204857,10.479999999999821,263.0,1
2.074940657897531,10.479999999999821,264.0,1
2.0763026855572875,10.479999999999821,265.0,1
2.077651403953684,10.479999999999821,266.0,1
2.0789869447544347,10.479999999999821,267.0,1
2.080309438051826,10.479999999999821,268.0,1
2.081619012412627,10.479999999999821,269.0,1
2.082915794860933,10.479999999999821,270.0,1
2.084199910938957,10.479999999999821,271.0,1
2.085471484698575,10.479999999999821,272.0,1
2.0867306387324773,10.479999999999821,273.0,1
2.087977494202998,10.479999999999821,274.0,1
2.089212170848203,10.479999999999821,275.0,1
2.0904347870091695,10.479999999999821,276.0,1
2.0916454596470917,10.479999999999821,277.0,1
2.092844304364134,10.479999999999821,278.0,1
2.0940314354226746,10.479999999999821,279.0,1
2.0952069657579706,10.479999999999821,280.0,1
2.096371007004769,10.479999999999821,281.0,1
2.0975236695102826,10.469999999999821,282.0,1
2.098665062352219,10.469999999999821,283.0,1
2.099795293357085,10.469999999999821,284.0,1
2.100914469114548,10.469999999999821,285.0,1
2.1020226950008274,10.469999999999821,286.0,1
2.103120075188036,10.469999999999821,287.0,1
2.104206712662033,10.469999999999821,288.0,1
2.1052827092434385,10.469999999999821,289.0,1
2.1063481655989342,10.469999999999821,290.0,1
2.107403181249534,10.469999999999821,291.0,1
2.108447854608943,10.469999999999821,292.0,1
2.1094822829667463,10.469999999999821,293.0,1
2.1105065625328034,10.469999999999821,294.0,1
2.111520788434697,10.469999999999821,295.0,1
2.1125250547353343,10.469999999999821,296.0,1
2.1135194544482134,10.469999999999821,297.0,1
2.114504079550001,10.469999999999821,298.0,1
2.115479020997699,10.469999999999821,299.0,1
2.1164443687416967,10.459999999999821,300.0,1
2.1174002117330986,10.459999999999821,301.0,1
2.118346637941491,10.459999999999821,302.0,1
2.1192837343690822,10.459999999999821,303.0,1
2.1202115870607265,10.459999999999821,304.0,1
2.121130281118948,10.459999999999821,305.0,1
2.1220399007078163,10.459999999999821,306.0,1
2.122940529079868,10.459999999999821,307.0,1
2.1238322485766963,10.459999999999821,308.0,1
2.1247151406454825,10.459999999999821,309.0,1
2.125589285842885,10.459999999999821,310.0,1
2.126454763861014,10.459999999999821,311.0,1
2.127311653522705,10.459999999999821,312.0,1
2.128160032806657,10.459999999999821,313.0,1
2.1289999788502394,10.449999999999822,314.0,1
2.1298315679531417,10.449999999999822,315.0,1
2.1306548756117905,10.449999999999822,316.0,1
2.1314699764986793,10.449999999999822,317.0,1
2.1322769445027583,10.449999999999822,318.0,1
2.133075852714661,10.449999999999822,319.0,1
2.1338667734541943,10.449999999999822,320.0,1
2.13464977826726,10.449999999999822,321.0,1
2.13542493794458,10.449999999999822,322.0,1
2.136192322528265,10.449999999999822,323.0,1
2.1369520013205054,10.449999999999822,324.0,1
2.1377040428983083,10.439999999999822,325.0,1
2.1384485151050137,10.439999999999822,326.0,1
2.139185485086281,10.439999999999822,327.0,1
2.1399150192766037,10.439999999999822,328.0,1
2.140637183417067,10.439999999999822,329.0,1
2.141352042568051,10.439999999999822,330.0,1
2.1420596610989775,10.439999999999822,331.0,1
2.1427601027286833,10.439999999999822,332.0,1
2.143453430503991,10.439999999999822,333.0,1
2.144139706819032,10.439999999999822,334.0,1
2.1448189934286166,10.439999999999822,335.0,1
2.145491351448461,10.429999999999822,336.0,1
2.146156841361213,10.429999999999822,337.0,1
2.146815523032633,10.429999999999822,338.0,1
2.1474674557178894,10.429999999999822,339.0,1
2.148112698059197,10.429999999999822,340.0,1
2.14875130810469,10.429999999999822,341.0,1
2.149383343306677,10.429999999999822,342.0,1
2.1500088605367895,10.429999999999822,343.0,1
2.1506279160877253,10.429999999999822,344.0,1
2.1512405656826266,10.429999999999822,345.0,1
2.1518468644769526,10.419999999999822,346.0,1
2.1524468670755894,10.419999999999822,347.0,1
2.153040627527437,10.419999999999822,348.0,1
2.1536281993413096,10.419999999999822,349.0,1
2.1542096354887317,10.419999999999822,350.0,1
2.154784988406439,10.419999999999822,351.0,1
2.1553543100107424,10.419999999999822,352.0,1
2.155917651700308,10.419999999999822,353.0,1
2.1564750643552726,10.419999999999822,354.0,1
2.1570265983577492,10.409999999999823,355.0,1
2.1575723035850416,10.409999999999823,356.0,1
2.158112229417923,10.409999999999823,357.0,1
2.158646424755182,10.409999999999823,358.0,1
2.159174938008684,10.409999999999823,359.0,1
2.1596978171108265,10.409999999999823,360.0,1
2.1602151095272726,10.409999999999823,361.0,1
2.1607268622571834,10.409999999999823,362.0,1
2.1612331218334293,10.409999999999823,363.0,1
2.1617339343367465,10.399999999999823,364.0,1
2.1622293454019843,10.399999999999823,365.0,1
2.162719400212988,10.399999999999823,366.0,1
2.163204143518225,10.399999999999823,367.0,1
2.1636836196246323,10.399999999999823,368.0,1
2.1641578724187425,10.399999999999823,369.0,1
2.1646269453581923,10.399999999999823,370.0,1
2.1650908814729153,10.399999999999823,371.0,1
2.1655497233925094,10.389999999999823,372.0,1
2.166003513323716,10.389999999999823,373.0,1
2.1664522930751278,10.389999999999823,374.0,1
2.1668961040489805,10.389999999999823,375.0,1
2.167334987254399,10.389999999999823,376.0,1
2.167768983307111,10.389999999999823,377.0,1
2.168198132433377,10.389999999999823,378.0,1
2.1686224744794043,10.389999999999823,379.0,1
2.1690420489095286,10.389999999999823,380.0,1
2.169456894816632,10.379999999999823,381.0,1
2.1698670509184614,10.379999999999823,382.0,1
2.1702725555692988,10.379999999999823,383.0,1
2.170673446762459,10.379999999999823,384.0,1
2.1710697621297954,10.379999999999823,385.0,1
2.171461538947398,10.379999999999823,386.0,1
2.171848814146283,10.379999999999823,387.0,1
2.1722316243085777,10.379999999999823,388.0,1
2.172610005675196,10.369999999999823,389.0,1
2.1729839941398055,10.369999999999823,390.0,1
2.173353625273971,10.369999999999823,391.0,1
2.173718934309161,10.369999999999823,392.0,1
2.1740799561503077,10.369999999999823,393.0,1
2.174436725380303,10.369999999999823,394.0,1
2.1747892762596153,10.369999999999823,395.0,1
2.1751376427316607,10.369999999999823,396.0,1
2.175481858426845,10.359999999999824,397.0,1
2.175821956665615,10.359999999999824,398.0,1
2.1761579704580836,10.359999999999824,399.0,1
2.176489932516667,10.359999999999824,400.0,1
2.1768178752495944,10.359999999999824,401.0,1
2.1771418307628023,10.359999999999824,402.0,1
2.177461830882597,10.359999999999824,403.0,1
2.177777907133748,10.359999999999824,404.0,1
2.1780900907519367,10.349999999999824,405.0,1
2.178398412694325,10.349999999999824,406.0,1
2.1787029036356933,10.349999999999824,407.0,1
2.1790035939734786,10.349999999999824,408.0,1
2.1793005138206882,10.349999999999824,409.0,1
2.1795936930320807,10.349999999999824,410.0,1
2.179883161177782,10.349999999999824,411.0,1
2.1801689475748742,10.339999999999824,412.0,1
2.1804510812681333,10.339999999999824,413.0,1
2.1807295910426467,10.339999999999824,414.0,1
2.1810045054265244,10.339999999999824,415.0,1
2.1812758526919107,10.339999999999824,416.0,1
2.181543660855589,10.339999999999824,417.0,1
2.181807957688398,10.339999999999824,418.0,1
2.1820687707114144,10.339999999999824,419.0,1
2.1823261271967076,10.329999999999824,420.0,1
2.1825800541801783,10.329999999999824,421.0,1
2.1828305784564987,10.329999999999824,422.0,1
2.1830777265768555,10.329999999999824,423.0,1
2.1833215248674436,10.329999999999824,424.0,1
2.1835619994124316,10.329999999999824,425.0,1
2.1837991760699222,10.329999999999824,426.0,1
2.1840330804718198,10.319999999999824,427.0,1
2.184263738022441,10.319999999999824,428.0,1
2.1844911739035813,10.319999999999824,429.0,1
2.184715413075667,10.319999999999824,430.0,1
2.1849364802809,10.319999999999824,431.0,1
2.185154400046882,10.319999999999824,432.0,1
2.185369196682955,10.319999999999824,433.0,1
2.1855808942905,10.319999999999824,434.0,1
2.1857895167610555,10.309999999999825,435.0,1
2.1859950877783585,10.309999999999825,436.0,1
2.186197630813251,10.309999999999825,437.0,1
2.1863971691471,10.309999999999825,438.0,1
2.186593725849296,10.309999999999825,439.0,1
2.186787323796111,10.309999999999825,440.0,1
2.1869779856569505,10.309999999999825,441.0,1
2.187165733920711,10.299999999999825,442.0,1
2.1873505908710444,10.299999999999825,443.0,1
2.1875325786040944,10.299999999999825,444.0,1
2.187711719025,10.299999999999825,445.0,1
2.1878880338573423,10.299999999999825,446.0,1
2.188061544635074,10.299999999999825,447.0,1
2.1882322727016983,10.299999999999825,448.0,1
2.188400239231888,10.289999999999825,449.0,1
2.188565465211145,10.289999999999825,450.0,1
2.1887279714478267,10.289999999999825,451.0,1
2.18888777857632,10.289999999999825,452.0,1
2.1890449070533737,10.289999999999825,453.0,1
2.189199377163605,10.289999999999825,454.0,1
