Mass,Radius,Pressure,Type
0.12491444986373736,19.856000000001284,1.5,0
0.13192052114501715,18.76399999999995,1.6,0
0.13888383042595825,17.907999999998903,1.7000000000000002,0
0.14578984152515917,17.221999999998065,1.8000000000000003,0
0.15262879603192306,16.66199999999738,1.9000000000000004,0
0.1593943190625361,16.197999999996814,2.0000000000000004,0
0.16608246412490177,15.807999999996678,2.1000000000000005,0
0.17269105512552543,15.476999999996861,2.2000000000000006,0
0.1792191879734519,15.19199999999702,2.3000000000000007,0
0.18566690948363235,14.945999999997156,2.400000000000001,0
0.19203495753749897,14.729999999997275,2.500000000000001,0
0.1983245585506471,14.54099999999738,2.600000000000001,0
0.20453730343533066,14.373999999997473,2.700000000000001,0
0.21067503469876075,14.224999999997555,2.800000000000001,0
0.21673977546334314,14.091999999997629,2.9000000000000012,0
0.22273365149301758,13.971999999997696,3.0000000000000013,0
0.22865885603533545,13.863999999997755,3.1000000000000014,0
0.23451762283356817,13.76599999999781,3.2000000000000015,0
0.2403121747388816,13.677999999997859,3.3000000000000016,0
0.24604472974576658,13.596999999997903,3.4000000000000017,0
0.25171747149452145,13.522999999997944,3.5000000000000018,0
0.25733253672202877,13.454999999997982,3.600000000000002,0
0.2628920245003728,13.392999999998016,3.700000000000002,0
0.26839795880327527,13.334999999998049,3.800000000000002,0
0.27385231604600224,13.281999999998078,3.900000000000002,0
0.27925700361235717,13.232999999998105,4.000000000000002,0
0.28461386684515666,13.18799999999813,4.100000000000002,0
0.28992468756410217,13.145999999998153,4.200000000000003,0
0.2951911794567835,13.105999999998176,4.3000000000000025,0
0.30041499366658087,13.069999999998196,4.400000000000002,0
0.305597715479966,13.035999999998214,4.500000000000003,0
0.31074087526823807,13.003999999998232,4.600000000000003,0
0.31584593564554114,12.973999999998249,4.700000000000003,0
0.32091430337633625,12.945999999998264,4.8000000000000025,0
0.3259473297108922,12.919999999998279,4.900000000000003,0
0.33094630918142404,12.895999999998292,5.0,0
0.37931315900055085,12.71899999999839,6.0,0
0.4253640380543345,12.623999999998443,7.0,0
0.46975836061410176,12.57399999999847,8.0,0
0.5129279849954976,12.552999999998482,9.0,0
0.5551547680734717,12.550999999998483,10.0,0
0.5966203772588772,12.562999999998476,11.0,0
0.6374388169775047,12.584999999998464,12.0,0
0.6776781738681433,12.613999999998448,13.0,0
0.7173754990155119,12.64799999999843,14.0,0
0.7565471017328848,12.685999999998408,15.0,0
0.7951957855436053,12.726999999998386,16.0,0
0.8333159615023489,12.769999999998362,17.0,0
0.8708972283417606,12.814999999998337,18.0,0
0.9079268739375713,12.859999999998312,19.0,0
0.9443916290912697,12.905999999998286,20.0,0
0.9802787778503267,12.950999999998261,21.0,0
1.0155769488961606,12.996999999998236,22.0,0
1.0502765284323643,13.041999999998211,23.0,0
1.0843698999750293,13.086999999998186,24.0,0
1.11785153449789,13.129999999998162,25.0,0
1.1507179451008818,13.172999999998138,26.0,0
1.1829676407459393,13.215999999998115,27.0,0
1.2146009303790655,13.255999999998092,28.0,0
1.2456198316307097,13.29699999999807,29.0,0
1.276027855768043,13.335999999998048,30.0,0
1.3058298501114733,13.373999999998027,31.0,0
1.3350318391219944,13.410999999998007,32.0,0
1.3636407271030384,13.446999999997987,33.0,0
1.3916646452674408,13.480999999997968,34.0,0
1.419112074764339,13.514999999997949,35.0,0
1.4459922216578922,13.54799999999793,36.0,0
1.4723147877081746,13.579999999997913,37.0,0
1.4980898480990288,13.610999999997896,38.0,0
1.5233277681147643,13.63999999999788,39.0,0
1.5480391414235417,13.668999999997864,40.0,0
1.572234708075373,13.696999999997848,41.0,0
1.595925295833127,13.723999999997833,42.0,0
1.619121770201565,13.749999999997819,43.0,0
1.6418349902012244,13.774999999997805,44.0,0
1.664075769416258,13.798999999997791,45.0,0
1.6858548414355163,13.822999999997778,46.0,0
1.7071828404131484,13.845999999997765,47.0,0
1.7280702674483426,13.867999999997753,48.0,0
1.7485274815993173,13.888999999997742,49.0,0
1.7685646682146428,13.90899999999773,50.0,0
1.7881918482342973,13.92899999999772,51.0,0
1.807418852998827,13.947999999997709,52.0,0
1.8262553151099032,13.96692776797114,53.0,0
1.8447106834250124,13.983999999997689,54.0,0
1.8627941868869493,14.00099999999768,55.0,0
