# model: HHJ_2 
Mass Radius Pressure 
1.83160508e+00 1.20080000e+01 8.39743338e-13
1.83404436e+00 1.20040000e+01 7.34035613e-13
1.83645819e+00 1.20000000e+01 2.66794250e-14
1.83884692e+00 1.19957500e+01 2.22340098e-13
1.84121089e+00 1.19910000e+01 7.96132359e-13
1.84355044e+00 1.19870000e+01 4.92273824e-13
1.84586589e+00 1.19827500e+01 2.18509616e-13
1.84815757e+00 1.19780000e+01 6.55420726e-13
1.85042581e+00 1.19740000e+01 6.12774545e-13
1.85267090e+00 1.19700000e+01 1.57227860e-14
1.85489315e+00 1.19660000e+01 2.39884639e-14
1.85709288e+00 1.19610000e+01 5.81037314e-13
1.85927037e+00 1.19570000e+01 5.64767098e-13
1.86142592e+00 1.19530000e+01 1.48035224e-14
1.86355980e+00 1.19490000e+01 2.33265012e-14
1.86567231e+00 1.19448516e+01 7.64725779e-16
1.86776372e+00 1.19400000e+01 3.97074615e-13
1.86983430e+00 1.19360000e+01 4.32501831e-13
1.87188431e+00 1.19320000e+01 2.82718456e-14
1.87391402e+00 1.19280000e+01 7.73011128e-16
1.87592369e+00 1.19238405e+01 7.81572242e-16
1.87791357e+00 1.19190000e+01 4.51574612e-13
1.87988391e+00 1.19150000e+01 2.25578867e-13
1.88183495e+00 1.19110000e+01 1.10250206e-13
1.88376694e+00 1.19070000e+01 2.50027020e-14
1.88568012e+00 1.19030000e+01 1.09932573e-15
1.88757471e+00 1.18989564e+01 8.55584283e-17
1.88945095e+00 1.18948330e+01 1.21450979e-15
1.89130905e+00 1.18900000e+01 4.43342952e-13
1.89314926e+00 1.18860000e+01 3.12619199e-13
1.89497177e+00 1.18820000e+01 2.12686271e-13
1.89677682e+00 1.18780000e+01 1.12034755e-13
1.89856460e+00 1.18740000e+01 6.37933298e-14
1.90033533e+00 1.18700000e+01 2.96683201e-14
1.90208921e+00 1.18660000e+01 9.27321736e-15
1.90382645e+00 1.18620000e+01 9.43279865e-16
1.90554724e+00 1.18580000e+01 2.57096544e-15
1.90725178e+00 1.18539880e+01 5.32817741e-16
1.90894026e+00 1.18498633e+01 1.65799848e-15
1.91061287e+00 1.18458464e+01 7.47328779e-16
1.91226980e+00 1.18418316e+01 2.01058920e-15
1.91391123e+00 1.18378195e+01 4.64588378e-15
1.91553733e+00 1.18339438e+01 1.76630867e-17
1.91714830e+00 1.18298498e+01 8.17981651e-17
1.91874430e+00 1.18258288e+01 2.53494281e-15
1.92032551e+00 1.18218424e+01 8.04678598e-16
1.92189210e+00 1.18178590e+01 1.34748365e-15
1.92344423e+00 1.18139809e+01 9.36920980e-17
1.92498207e+00 1.18100000e+01 7.05470871e-14
1.92650578e+00 1.18060000e+01 8.64684760e-14
1.92801553e+00 1.18020000e+01 1.47641683e-13
1.92951146e+00 1.17980000e+01 1.71449205e-14
1.93099375e+00 1.17940000e+01 7.45382632e-14
1.93246253e+00 1.17900000e+01 1.37094359e-13
1.93391796e+00 1.17860000e+01 2.27293060e-13
1.93536019e+00 1.17827651e+01 2.52029476e-15
1.93678936e+00 1.17787096e+01 1.43556123e-14
1.93820562e+00 1.17749835e+01 4.85734756e-16
1.93960912e+00 1.17710000e+01 4.00495677e-15
1.94099999e+00 1.17670000e+01 8.40711965e-14
1.94237837e+00 1.17630000e+01 3.50785770e-14
1.94374439e+00 1.17590000e+01 1.62547168e-13
1.94509820e+00 1.17557438e+01 5.63404406e-16
1.94643992e+00 1.17517100e+01 1.51720276e-14
1.94776969e+00 1.17480000e+01 3.73617343e-16
1.94908763e+00 1.17440000e+01 8.20781672e-14
1.95039387e+00 1.17400000e+01 7.86439830e-14
1.95168853e+00 1.17360000e+01 9.49201162e-13
1.95297175e+00 1.17328103e+01 3.10267168e-15
1.95424364e+00 1.17290000e+01 2.77250287e-15
1.95550431e+00 1.17250000e+01 2.01616016e-13
1.95675390e+00 1.17210000e+01 7.69643659e-13
1.95799251e+00 1.17177730e+01 1.82289767e-16
1.95922027e+00 1.17139922e+01 2.24159469e-16
1.96043728e+00 1.17100000e+01 1.80340518e-13
1.96164366e+00 1.17060000e+01 8.03581862e-13
1.96283951e+00 1.17027916e+01 3.04313356e-15
1.96402496e+00 1.16990000e+01 4.68254652e-14
1.96520009e+00 1.16950000e+01 2.58887480e-13
1.96636503e+00 1.16916149e+01 2.22764338e-15
1.96751988e+00 1.16879811e+01 2.12182313e-16
1.96866473e+00 1.16840000e+01 2.12719422e-13
1.96979970e+00 1.16800000e+01 9.68322965e-13
1.97092488e+00 1.16770000e+01 6.54914761e-15
1.97204037e+00 1.16730000e+01 2.13484611e-13
1.97314627e+00 1.16695981e+01 1.06896000e-15
1.97424267e+00 1.16660000e+01 5.07663250e-15
1.97532968e+00 1.16620000e+01 2.56383703e-13
1.97640739e+00 1.16587575e+01 4.31762218e-16
1.97747588e+00 1.16550000e+01 1.69237542e-13
1.97853526e+00 1.16510000e+01 7.59721712e-13
1.97958560e+00 1.16480000e+01 5.29409498e-15
1.98062701e+00 1.16440000e+01 2.02679612e-13
1.98165957e+00 1.16407288e+01 1.11996517e-15
1.98268337e+00 1.16370000e+01 1.81552025e-13
1.98369849e+00 1.16330000e+01 8.77071565e-13
1.98470501e+00 1.16300000e+01 3.80261953e-15
1.98570304e+00 1.16260000e+01 6.54130603e-13
1.98669263e+00 1.16230000e+01 4.48962421e-15
1.98767388e+00 1.16190000e+01 5.09718849e-13
1.98864688e+00 1.16157500e+01 1.07857550e-13
1.98961168e+00 1.16120000e+01 1.96074231e-13
1.99056839e+00 1.16087500e+01 9.45027447e-14
1.99151707e+00 1.16050000e+01 2.40888170e-13
1.99245781e+00 1.16017500e+01 8.99191475e-14
1.99339067e+00 1.15980000e+01 2.42350128e-13
1.99431573e+00 1.15947500e+01 9.45321230e-14
1.99523307e+00 1.15910000e+01 1.98473499e-13
1.99614276e+00 1.15880000e+01 4.51041911e-15
1.99704488e+00 1.15840000e+01 5.11141715e-13
1.99793949e+00 1.15810000e+01 1.72440236e-14
1.99882666e+00 1.15770000e+01 6.60724261e-13
1.99970647e+00 1.15740000e+01 2.68726196e-14
2.00057898e+00 1.15700000e+01 4.54435937e-13
2.00144426e+00 1.15670000e+01 1.64565229e-13
2.00230238e+00 1.15637500e+01 6.85547336e-14
2.00315341e+00 1.15600000e+01 4.29067906e-13
2.00399741e+00 1.15570000e+01 1.21974306e-14
2.00483445e+00 1.15530000e+01 7.61059045e-13
2.00566458e+00 1.15500000e+01 1.20427973e-14
2.00648788e+00 1.15467500e+01 6.80102102e-14
2.00730441e+00 1.15430000e+01 4.88704207e-13
2.00811422e+00 1.15400000e+01 2.08742715e-14
2.00891738e+00 1.15365767e+01 4.00214281e-15
2.00971396e+00 1.15330000e+01 3.58866922e-13
2.01050400e+00 1.15300000e+01 1.22921865e-14
2.01128757e+00 1.15260000e+01 9.07732729e-13
2.01206473e+00 1.15230000e+01 5.88691351e-13
2.01283554e+00 1.15200000e+01 1.17519216e-14
2.01360004e+00 1.15160000e+01 9.49094249e-13
2.01435831e+00 1.15130000e+01 3.76247457e-13
2.01511039e+00 1.15100000e+01 2.18076188e-14
2.01585634e+00 1.15068469e+01 5.11862508e-15
2.01659621e+00 1.15030000e+01 5.34333059e-13
2.01733006e+00 1.15000000e+01 5.27951540e-14
2.01805794e+00 1.14968656e+01 2.87199146e-15
2.01877991e+00 1.14930000e+01 8.66601058e-13
2.01949602e+00 1.14900000e+01 6.53981879e-13
2.02020631e+00 1.14870000e+01 3.22554125e-14
2.02091084e+00 1.14839082e+01 7.31320359e-15
2.02160966e+00 1.14800000e+01 8.34330931e-13
2.02230281e+00 1.14770000e+01 6.74108094e-13
2.02299036e+00 1.14740000e+01 4.25375055e-14
2.02367234e+00 1.14709945e+01 3.27693307e-16
2.02434881e+00 1.14678011e+01 4.40601991e-15
2.02501982e+00 1.14640000e+01 5.95952204e-13
2.02568540e+00 1.14610000e+01 5.64602335e-13
2.02634561e+00 1.14580000e+01 2.96960769e-14
2.02700049e+00 1.14549165e+01 7.96173622e-15
2.02765009e+00 1.14518052e+01 4.56930539e-15
2.02829445e+00 1.14480000e+01 6.89231765e-13
2.02893362e+00 1.14450000e+01 6.88523520e-13
2.02956765e+00 1.14420000e+01 4.75103043e-13
2.03019657e+00 1.14390000e+01 2.17437768e-14
2.03082043e+00 1.14359143e+01 8.07268879e-15
2.03143927e+00 1.14328318e+01 5.25282708e-15
2.03205314e+00 1.14290000e+01 8.75414673e-13
2.03266207e+00 1.14260000e+01 8.94446083e-13
2.03326611e+00 1.14230000e+01 6.91546392e-13
2.03386530e+00 1.14200000e+01 5.28667920e-13
2.03445968e+00 1.14170000e+01 4.28904430e-14
2.03504929e+00 1.14140000e+01 1.86313971e-14
2.03563417e+00 1.14110000e+01 1.33742561e-15
2.03621435e+00 1.14078661e+01 6.45039854e-15
2.03678988e+00 1.14048271e+01 5.33040358e-15
2.03736080e+00 1.14017949e+01 1.10207297e-16
2.03792715e+00 1.13985761e+01 5.18402854e-15
2.03848895e+00 1.13956084e+01 7.86513950e-15
2.03904625e+00 1.13920000e+01 8.93858368e-13
2.03959909e+00 1.13890000e+01 7.94576582e-13
2.04014750e+00 1.13860000e+01 7.14072055e-13
2.04069152e+00 1.13830000e+01 6.52316842e-13
2.04123119e+00 1.13800000e+01 6.11789656e-13
2.04176653e+00 1.13770000e+01 5.72154138e-13
2.04229759e+00 1.13740000e+01 5.42041959e-13
2.04282439e+00 1.13710000e+01 5.22035850e-13
2.04334698e+00 1.13680000e+01 5.10272426e-13
2.04386539e+00 1.13650000e+01 5.06166187e-13
2.04437965e+00 1.13620000e+01 5.09141413e-13
2.04488979e+00 1.13590000e+01 5.18924247e-13
2.04539585e+00 1.13560000e+01 5.29225311e-13
2.04589786e+00 1.13530000e+01 5.55609813e-13
2.04639586e+00 1.13500000e+01 5.91745205e-13
2.04688986e+00 1.13470000e+01 6.38850389e-13
2.04737992e+00 1.13440000e+01 6.98937916e-13
2.04786605e+00 1.13410000e+01 7.75215748e-13
2.04834829e+00 1.13380000e+01 8.70072159e-13
2.04882667e+00 1.13350000e+01 9.87742533e-13
2.04930122e+00 1.13326037e+01 1.94958196e-15
2.04977196e+00 1.13296132e+01 2.95708397e-15
2.05023894e+00 1.13267701e+01 5.45140660e-16
2.05070218e+00 1.13238128e+01 5.54403101e-15
2.05116171e+00 1.13210000e+01 5.29556945e-15
2.05161755e+00 1.13180000e+01 3.20229681e-15
2.05206974e+00 1.13150000e+01 3.15151445e-13
2.05251830e+00 1.13120000e+01 4.47967041e-13
2.05296327e+00 1.13090000e+01 5.81216864e-13
2.05340466e+00 1.13060000e+01 7.65033107e-13
2.05384252e+00 1.13035977e+01 1.60730139e-15
2.05427686e+00 1.13006084e+01 2.41076706e-15
2.05470771e+00 1.12977883e+01 5.24306746e-15
2.05513511e+00 1.12950000e+01 7.16200483e-15
2.05555906e+00 1.12920000e+01 2.99445387e-13
2.05597962e+00 1.12890000e+01 4.81800962e-13
2.05639678e+00 1.12860000e+01 6.99451289e-13
2.05681060e+00 1.12836002e+01 4.25751429e-15
2.05722108e+00 1.12807279e+01 1.86714934e-16
2.05762826e+00 1.12780000e+01 8.91796488e-15
2.05803215e+00 1.12750000e+01 8.05736296e-15
2.05843280e+00 1.12720000e+01 4.56765792e-13
2.05883021e+00 1.12690000e+01 7.76027892e-13
2.05922441e+00 1.12665748e+01 6.81605501e-15
2.05961544e+00 1.12639317e+01 1.10945542e-14
2.06000330e+00 1.12610000e+01 3.52735097e-15
2.06038803e+00 1.12580000e+01 4.46590260e-13
2.06076965e+00 1.12550000e+01 9.74873328e-13
2.06114819e+00 1.12525769e+01 6.95818393e-15
2.06152365e+00 1.12500000e+01 9.95832134e-15
2.06189608e+00 1.12470000e+01 3.26693864e-13
2.06226549e+00 1.12440000e+01 5.54688994e-13
2.06263190e+00 1.12415893e+01 1.97207150e-15
2.06299533e+00 1.12389481e+01 1.25334502e-14
2.06335582e+00 1.12360000e+01 3.04761206e-13
2.06371337e+00 1.12330000e+01 5.14064720e-13
2.06406801e+00 1.12305977e+01 1.53382922e-15
2.06441977e+00 1.12280000e+01 7.76376952e-15
2.06476866e+00 1.12250000e+01 3.63236784e-13
2.06511470e+00 1.12220000e+01 7.99932452e-13
2.06545792e+00 1.12197154e+01 6.98487859e-16
2.06579834e+00 1.12170000e+01 1.40464987e-15
2.06613597e+00 1.12140000e+01 4.27322471e-13
2.06647084e+00 1.12115748e+01 7.36697634e-15
2.06680296e+00 1.12090000e+01 1.10237357e-14
2.06713236e+00 1.12060000e+01 3.68577086e-13
2.06745906e+00 1.12036118e+01 9.47350276e-15
2.06778308e+00 1.12009456e+01 1.29484412e-14
2.06810443e+00 1.11980000e+01 3.32570759e-13
2.06842313e+00 1.11957153e+01 2.30307577e-15
2.06873921e+00 1.11929361e+01 1.23981087e-14
2.06905268e+00 1.11900000e+01 3.09386727e-13
2.06936356e+00 1.11877076e+01 1.44032061e-15
2.06967188e+00 1.11850000e+01 1.64704024e-15
2.06997764e+00 1.11820000e+01 4.53947141e-13
2.07028086e+00 1.11795859e+01 2.94457324e-15
2.07058158e+00 1.11770000e+01 1.78406759e-14
2.07087979e+00 1.11740000e+01 5.84913991e-13
2.07117552e+00 1.11716069e+01 2.57914455e-15
2.07146880e+00 1.11690000e+01 2.00248329e-14
2.07175962e+00 1.11666872e+01 1.03302718e-15
2.07204802e+00 1.11639330e+01 1.26140690e-14
2.07233401e+00 1.11610000e+01 4.70390247e-13
2.07261761e+00 1.11585991e+01 1.54604376e-15
2.07289883e+00 1.11560000e+01 2.53983741e-13
2.07317769e+00 1.11537263e+01 3.93645634e-16
2.07345420e+00 1.11509135e+01 1.14789528e-14
2.07372839e+00 1.11480000e+01 5.33851776e-13
2.07400027e+00 1.11458270e+01 7.27791272e-15
2.07426985e+00 1.11430000e+01 3.42699339e-13
2.07453716e+00 1.11405995e+01 3.71731601e-15
2.07480220e+00 1.11380000e+01 1.91809146e-13
2.07506500e+00 1.11357155e+01 2.79845584e-15
2.07532556e+00 1.11330000e+01 4.07720988e-15
2.07558391e+00 1.11300000e+01 6.37609290e-13
2.07584006e+00 1.11278927e+01 1.04889943e-14
2.07609403e+00 1.11250000e+01 5.01730274e-13
2.07634582e+00 1.11228698e+01 9.29276581e-15
2.07659545e+00 1.11200000e+01 4.14367648e-13
2.07684295e+00 1.11178373e+01 7.89108856e-15
2.07708832e+00 1.11150000e+01 3.60189490e-13
2.07733158e+00 1.11125960e+01 1.97202922e-15
2.07757275e+00 1.11100000e+01 3.28588728e-13
2.07781183e+00 1.11075850e+01 4.91291483e-15
2.07804884e+00 1.11050000e+01 3.18236281e-13
2.07828380e+00 1.11025840e+01 5.27039585e-15
2.07851672e+00 1.11000000e+01 3.27082400e-13
2.07874761e+00 1.10975939e+01 2.46211283e-15
2.07897649e+00 1.10950000e+01 3.57436498e-13
2.07920337e+00 1.10926089e+01 3.01391540e-15
2.07942827e+00 1.10900000e+01 4.10492453e-13
2.07965119e+00 1.10878224e+01 7.60196459e-15
2.07987216e+00 1.10850000e+01 4.96656571e-13
2.08009118e+00 1.10828780e+01 1.01691020e-14
2.08030827e+00 1.10800000e+01 6.26517970e-13
2.08052343e+00 1.10779462e+01 1.50150899e-14
2.08073670e+00 1.10757118e+01 1.42014616e-16
2.08094806e+00 1.10730000e+01 1.72825012e-13
2.08115755e+00 1.10705858e+01 3.41815803e-15
2.08136517e+00 1.10680000e+01 3.15223338e-13
2.08157093e+00 1.10658149e+01 4.11501499e-17
2.08177485e+00 1.10630000e+01 4.93890569e-13
2.08197694e+00 1.10609029e+01 1.19757858e-14
2.08217721e+00 1.10585969e+01 8.38973656e-15
2.08237567e+00 1.10560000e+01 1.77585649e-13
2.08257233e+00 1.10535721e+01 1.08726199e-14
2.08276721e+00 1.10510000e+01 3.95916031e-13
2.08296033e+00 1.10488605e+01 9.59816478e-15
2.08315168e+00 1.10465783e+01 1.21613830e-15
2.08334128e+00 1.10440000e+01 1.70291152e-13
2.08352915e+00 1.10416013e+01 3.52100243e-16
2.08371529e+00 1.10390000e+01 4.40775756e-13
2.08389971e+00 1.10369019e+01 1.22301979e-14
2.08408244e+00 1.10347084e+01 2.80765785e-15
2.08426347e+00 1.10320000e+01 2.85629628e-13
2.08444282e+00 1.10298067e+01 7.57290721e-15
2.08462050e+00 1.10270000e+01 9.96272586e-13
2.08479653e+00 1.10250000e+01 8.24114873e-14
2.08497090e+00 1.10227595e+01 1.29596717e-15
2.08514364e+00 1.10200000e+01 5.49260725e-13
2.08531475e+00 1.10180000e+01 5.80104189e-14
2.08548425e+00 1.10155725e+01 1.10060496e-14
2.08565214e+00 1.10130000e+01 5.01206706e-13
2.08581843e+00 1.10110000e+01 4.97507097e-14
2.08598314e+00 1.10085761e+01 8.47124291e-15
2.08614628e+00 1.10060000e+01 5.10988766e-13
2.08630785e+00 1.10040000e+01 5.62481025e-14
2.08646786e+00 1.10017454e+01 2.64624703e-17
2.08662634e+00 1.09990000e+01 9.12304898e-13
2.08678327e+00 1.09970000e+01 7.81552575e-14
2.08693869e+00 1.09948000e+01 3.06797719e-16
2.08709258e+00 1.09926725e+01 7.83350326e-17
2.08724498e+00 1.09900000e+01 2.43503620e-13
2.08739587e+00 1.09878537e+01 9.88527041e-15
2.08754528e+00 1.09857307e+01 2.07414343e-16
2.08769322e+00 1.09830000e+01 4.29913345e-13
2.08783968e+00 1.09810000e+01 4.71199311e-14
2.08798469e+00 1.09787510e+01 1.73724153e-15
2.08812825e+00 1.09765635e+01 1.19400444e-14
2.08827037e+00 1.09740000e+01 2.90002564e-13
