Mass,Radius,Pressure,k2,yR,Type
0.0711908631678943,29.535434868859305,1.8,0.00016670140209153734,2.005454094484462,0
0.07432880679331637,25.76185599526973,1.9000000000000001,0.00024594595063892735,2.0060565829380947,0
0.07707694134206336,23.381108124491863,2.0,0.0003392472644100303,2.0063226874062052,0
0.07949256919003755,21.73363505141776,2.1000000000000005,0.0004407190436892539,2.006351321390025,0
0.0816239873854212,20.522125110089334,2.2,0.0005459221829277448,2.006214891771324,0
0.0835114843906796,19.598246611157823,2.3000000000000007,0.0006506202809786541,2.00597312001356,0
0.08518864573271417,18.85875248498511,2.4000000000000004,0.0007547726696325671,2.005651190441763,0
0.08668342234451497,18.265137490695487,2.500000000000001,0.0008538584465765328,2.00529774819768,0
0.08802308818742854,17.761054436127523,2.6000000000000005,0.00095151694934446,2.0049016756870857,0
0.08932454726020028,17.3118654913202,2.700000000000001,0.001049945813088173,2.0044762324200325,0
0.0906400937369486,16.889961826109946,2.8000000000000007,0.0011546106912868922,2.0039918996941775,0
0.09197068509663985,16.485432304775543,2.9000000000000012,0.0012687570668686885,2.003422062449992,0
0.09331540545753211,16.11506024217523,3.000000000000001,0.0013856363348807262,2.002818254390309,0
0.09467290618949967,15.765480514535186,3.1000000000000014,0.0015094696694540341,2.0021465178454982,0
0.09604171174518772,15.437354041478878,3.200000000000001,0.0016392872109671304,2.0014136399845257,0
0.09742044087280427,15.128693057001502,3.3000000000000016,0.0017752538072003743,2.000617427420198,0
0.09880775921200496,14.841466735871165,3.4000000000000012,0.0019151182784987396,1.9997762832100108,0
0.10020248984361257,14.57072516696771,3.5000000000000018,0.0020607535054238714,1.9988740031065506,0
0.1016035233925955,14.316947910608341,3.6000000000000014,0.0022107835918134316,1.9979219521367868,0
0.10300989291385028,14.077145828504788,3.700000000000002,0.0023663645602883315,1.9969097220135625,0
0.10442069312445845,13.853294255075062,3.8000000000000016,0.0025246980429953977,1.995861662871373,0
0.10583514731220171,13.64316554963625,3.900000000000002,0.002686336426459675,1.994772956997237,0
0.10725249329851931,13.44320922652895,4.000000000000002,0.0028536359976454755,1.9936223013143362,0
0.10867210728919044,13.251358005634883,4.100000000000002,0.003028199543210539,1.9923945465581228,0
0.11009339818321483,13.074779616311973,4.200000000000002,0.0032008192320896797,1.99117331834931,0
0.11151582266363493,12.904873033043366,4.3000000000000025,0.0033803763218749824,1.98987755741656,0
0.11293890209167129,12.74856114860161,4.400000000000002,0.0035568252606739364,1.9885998499933106,0
0.11436220668608345,12.597085925169477,4.500000000000003,0.0037408480288559447,1.987241356001395,0
0.11578533109053114,12.45193963860672,4.600000000000002,0.0039299338094197145,1.9858248845848683,0
0.11720792294383839,12.318577696044562,4.700000000000003,0.0041143515958718645,1.9844419321849789,0
0.11862966368582052,12.188838350019635,4.8000000000000025,0.004306200092766857,1.9829787120517437,0
0.12005025002536733,12.065807853089746,4.900000000000003,0.004499641402965317,1.9814901854549087,0
0.12146943213884849,11.949600488778819,5.0,0.004693397674899742,1.9799886752882885,0
0.13553981470037124,11.030947385164534,6.0,0.006741649194577911,1.9633741687488058,0
0.14930545426453445,10.421582221063751,7.0,0.008893466122087055,1.9448370691677013,0
0.16271060666925927,9.992945509560238,8.0,0.011087439574644925,1.925058709956768,0
0.17577419114086146,9.678627961690395,9.0,0.013278973917879485,1.9045748217151823,0
0.18881786326967143,9.435272819767802,10.0,0.015505745090576064,1.8830884701682111,0
0.20186792782184848,9.240676316425471,11.0,0.01778190149564433,1.8604583079677512,0
0.21487192725733317,9.091589157854962,12.0,0.019991920758809446,1.8379507943790414,0
0.22779368044595907,8.965735824171839,13.0,0.0222511227577669,1.814320894020321,0
0.24060826201217284,8.868877038858864,14.0,0.024399571666459507,1.7913650631803075,0
0.25329853021517135,8.789809209053876,15.0,0.02649545397256289,1.7684721914932633,0
0.2658528415701501,8.72247659459469,16.0,0.02856964112227737,1.7453159785487213,0
0.27826345568608846,8.670753204578942,17.0,0.03050783433225356,1.7232354940177679,0
0.2905254357423837,8.627590742291291,18.0,0.03238271920265171,1.7014318877248265,0
0.3026358901589161,8.58895761299149,19.0,0.03424129552868655,1.6793778532508192,0
0.31459341593694123,8.561473141599409,20.0,0.03592570823938649,1.6589571061739474,0
0.3263977055523474,8.535568586236824,21.0,0.03760777309495252,1.6381702884118228,0
0.3380492660431685,8.516983627934865,22.0,0.03914779031306911,1.618706449503655,0
0.34954920185595884,8.498820632458205,23.0,0.04068697239642594,1.5988944673409107,0
0.3608990516296219,8.484432814407608,24.0,0.0421387259518539,1.5797980133511849,0
0.3721006816128592,8.473746870351427,25.0,0.04349307124014604,1.5615677712933793,0
0.38315619057959777,8.46504194968191,26.0,0.04478501918598067,1.5437987398817252,0
0.39406783867125145,8.45956061976071,27.0,0.04597487468610664,1.527007825598973,0
0.4048380001946045,8.453432976040686,28.0,0.04716288012900146,1.509961272111651,0
0.41546911900065925,8.452964537347118,29.0,0.0481696998633295,1.4949411203947705,0
0.4259636880222712,8.448608450494406,30.0,0.04926254904474726,1.4785780822050956,0
0.4363242133713805,8.446220961284338,31.0,0.05027428874611836,1.4630057388495998,0
0.4465532014009268,8.447203555496333,32.0,0.05115895217864177,1.448846366434143,0
0.4566531503911048,8.446932578588374,33.0,0.05205355869824909,1.434342912493883,0
0.46662652903149926,8.44705207064285,34.0,0.052908959322495716,1.4201420753950842,0
0.4764757775116226,8.452317848624238,35.0,0.05357398261300263,1.4082667994696778,0
0.4862032968040269,8.453701891758149,36.0,0.05433270776103195,1.394967830960317,0
